SUID,univid,response
2263,5c9e67b134cda4f3677e56a3,Practical relevance / professionalization
2263,5c9e4dfa34cda4f3677e3a13,Internationality
2263,5c9e496834cda4f3677e32a1,Specialization
2263,5c9e7ea034cda4f3677e6d1b,Practical relevance / professionalization
2263,5c9e470b34cda4f3677e2ec5,Practical relevance / professionalization
2263,5c9e7e5734cda4f3677e6ca9,Practical relevance / professionalization
2263,5c9e70cf34cda4f3677e623d,Internationality
2263,5c9e34f634cda4f3677e113b,Specialization
2263,5c9e63ee34cda4f3677e5101,Specialization
2263,5c9e882334cda4f3677e6f4b,Specialization
2263,5c9e637534cda4f3677e503d,Specialization
2263,5c9e637034cda4f3677e5035,Internationality
2263,5c9e636d34cda4f3677e502f,Specialization
774,5c9e4dfb34cda4f3677e3a15,Internationality
755,5c9e70bd34cda4f3677e621f,Soft skills and digital literacy
755,5c9e636634cda4f3677e5025,Specialization
755,5c9e7d6034cda4f3677e6b19,Practical relevance / professionalization
755,5c9e7d4d34cda4f3677e6af9,Internationality
755,5c9e6be834cda4f3677e5d83,Practical relevance / professionalization
755,5c9e3fc034cda4f3677e22e3,Academic excellence
755,5e84b4001ead1a77be3bd395,Practical relevance / professionalization
755,5c9e4b4134cda4f3677e35a9,Practical relevance / professionalization
755,5c9e7ea634cda4f3677e6d25,Specialization
755,5c9e498d34cda4f3677e32df,Specialization
755,5c9e7e5734cda4f3677e6ca9,Academic excellence
113,5c9e4dfb34cda4f3677e3a15,Specialization
113,5e8c6df1dc39552aa1e7bdf3,Specialization
113,5c9e6be834cda4f3677e5d83,Specialization
113,5c9e60cb34cda4f3677e4be3,Specialization
113,5c9e38ed34cda4f3677e17bb,Specialization
113,5c9e638a34cda4f3677e505d,Practical relevance / professionalization
113,5c9e8d5d34cda4f3677e75f1,Specialization
113,5c9e7db234cda4f3677e6b9b,Specialization
511,5c9e5c6c34cda4f3677e44b7,Internationality
511,5c9e498a34cda4f3677e32d9,Specialization
511,5c9e498a34cda4f3677e32d9,Specialization
511,5c9e60cb34cda4f3677e4be3,Specialization
511,5c9e60b534cda4f3677e4bbf,Practical relevance / professionalization
511,5c9e67b134cda4f3677e56a3,Practical relevance / professionalization
511,5c9e496834cda4f3677e32a1,Soft skills and digital literacy
511,5c9e35b234cda4f3677e126b,Internationality
511,5c9e5bc734cda4f3677e43a7,Specialization
511,5c9e895334cda4f3677e7141,Specialization
511,5c9e61c534cda4f3677e4d7f,Soft skills and digital literacy
511,5c9e65e134cda4f3677e539d,Specialization
3035,5e84b4001ead1a77be3bd395,Internationality
3035,5c9e4c3134cda4f3677e373b,Specialization
3035,5c9e4b4134cda4f3677e35a9,Specialization
3035,5c9e498134cda4f3677e32c9,Internationality
3035,5c9e67c234cda4f3677e56bf,Internationality
3035,5c9e47c134cda4f3677e2fe7,Specialization
3035,5c9e420034cda4f3677e267f,Specialization
3035,5c9e420034cda4f3677e267f,Specialization
3035,5c9e7ea034cda4f3677e6d1b,Internationality
3035,5c9e8dfd34cda4f3677e76f7,Soft skills and digital literacy
3035,5c9e7ead34cda4f3677e6d31,Internationality
3035,5c9e7ea034cda4f3677e6d1b,Specialization
3035,5c9e67ca34cda4f3677e56cd,Specialization
906,5c9e70bd34cda4f3677e621f,Soft skills and digital literacy
906,5c9e3bc934cda4f3677e1c63,Soft skills and digital literacy
906,5c9e3c9c34cda4f3677e1dbd,Soft skills and digital literacy
906,5e84b8a01ead1a77be3bd3a8,Soft skills and digital literacy
906,5c9e7c4034cda4f3677e6937,Soft skills and digital literacy
906,5c9e3cba34cda4f3677e1ded,Soft skills and digital literacy
906,5c9e418d34cda4f3677e25c3,Soft skills and digital literacy
906,5e8c89b723d6684db014ea35,Soft skills and digital literacy
906,5c9e7e9e34cda4f3677e6d17,Soft skills and digital literacy
906,5c9e61c534cda4f3677e4d7f,Soft skills and digital literacy
906,5c9e63ae34cda4f3677e5099,Internationality
2631,5c9e496834cda4f3677e32a1,Soft skills and digital literacy
2631,5c9e3c9c34cda4f3677e1dbd,Practical relevance / professionalization
2631,5c9e355634cda4f3677e11d7,Specialization
2631,5e84b6351ead1a77be3bd39a,Academic excellence
2631,5e84b4001ead1a77be3bd395,Academic excellence
2631,5c9e7dd034cda4f3677e6bcb,Practical relevance / professionalization
2631,5c9e7cb934cda4f3677e69ff,Specialization
2631,5c9e616934cda4f3677e4ceb,Internationality
2631,5c9e355234cda4f3677e11d1,Specialization
2631,5c9e5dbd34cda4f3677e46e7,Academic excellence
1343,5c9e4dfb34cda4f3677e3a15,Specialization
1343,5c9e636634cda4f3677e5025,Internationality
1343,5c9e645734cda4f3677e51ab,Practical relevance / professionalization
1343,5c9e7d8334cda4f3677e6b4f,Specialization
1343,5c9e4dfa34cda4f3677e3a13,Specialization
1343,5c9e88f634cda4f3677e70a3,Practical relevance / professionalization
1343,5c9e355834cda4f3677e11d9,Practical relevance / professionalization
1343,5c9e645534cda4f3677e51a7,Internationality
1343,5c9e4d6a34cda4f3677e3927,Specialization
1343,5c9e60d234cda4f3677e4bf1,Specialization
1788,5c9e49f334cda4f3677e3385,Soft skills and digital literacy
